obs,start,end,exponent_b,intercept_a,r2,latest_price,price_to_model,resid_q10_mult,resid_q50_mult,resid_q90_mult,symbol,ticker,rank,name,market_cap_usd,volume_24h_usd,exp_distance_to_btc,score
1569,2021-12-21,2026-04-08,-2.617975673574506,10.343932633596365,0.7915519715029078,1.7156393369077705e-05,0.128285112578381,0.15711130974255552,1.4585317145581311,4.161335229925256,RAIN,RAIN-USD,31,Rain,3620392165.0,19014507.0,4.317794973894236,0.5977720475901658
3072,2017-11-09,2026-04-08,-1.6715356528027112,10.499001823300436,0.7601357613306954,0.021592818200588226,0.40179049817729595,0.4013754842461724,0.8564800455533561,3.2022367675387193,SKY,SKY-USD,45,Sky,1812549630.0,14165729.0,3.3713549531224407,0.5917212666026656
2917,2018-04-13,2026-04-08,1.2171348144417407,-12.705553071092016,0.47833500751572,0.03193153068423271,0.6380821096338521,0.1400466589970725,1.1215213382234335,4.561775897034572,XDC,XDC-USD,87,XDC Network,636609913.0,25471481.0,0.48268448587798907,0.5896242857950544
412,2023-07-14,2024-12-29,-0.5070952354444599,-9.656608166939497,0.6686818846004541,1.9999999949504854e-06,0.6619779974786218,0.624354923050196,1.0137093750715613,1.559049031977944,STABLE,STABLE-USD,94,​​Stable,579928445.0,23446718.0,2.2069145357641897,0.5752904463597147
751,2024-03-18,2026-04-08,-0.5401751475080208,3.3037132160435365,0.6598555281810383,0.45604366064071655,0.5991992080712201,0.5967767241711132,1.009315331561061,1.6358603537183993,ETHFI,ETHFI-USD,119,Ether.fi,358879806.0,37968830.0,2.2399944478277503,0.5741090598753105
1324,2021-01-12,2024-08-27,-3.3168432432221224,15.36132260022584,0.7070037866948735,4.999999873689376e-06,0.02412378353431751,0.07483291012795659,1.3354623763072913,11.233746958152791,HYPE,HYPE-USD,15,Hyperliquid,9128016935.0,282346017.0,5.016662543541852,0.5723790567045564
1794,2021-05-10,2026-04-08,-0.7300070354463755,6.886603913949701,0.6502119280989288,2.447733163833618,0.5932848596988547,0.5069046837969928,1.0492554635810738,2.0595167667488936,ICP,ICP-USD,56,Internet Computer,1347645947.0,53759110.0,2.429826335766105,0.5671829910557722
3072,2017-11-09,2026-04-08,-0.7275981309386694,9.412461194955482,0.6391603472539953,32.91592025756836,0.9269732433346778,0.5693889026322226,0.9108363830950059,2.2499173770356764,DASH,DASH-USD,106,Dash,416386222.0,78435444.0,2.427417431258399,0.5649998818129659
3072,2017-11-09,2026-04-08,0.6791867203315514,-7.547659830677285,0.46622737903097156,0.3152281939983368,2.5581257812674445,0.39036858134111413,0.8825107824570867,2.5088109292426033,TRX,TRX-USD,8,TRON,29872276526.0,460431464.0,1.0206325799881784,0.5548453467823222
783,2024-02-15,2026-04-08,0.9722437318612831,-6.344597861474018,0.43931057001294627,0.6772814989089966,0.592585906953282,0.14817837959273567,1.1383338574623614,3.1223104527774908,VIRTUAL,VIRTUAL-USD,103,Virtuals Protocol,445144459.0,88214532.0,0.7275755684584466,0.5522198517602731
1321,2022-08-26,2026-04-08,0.6617714661920477,-1.5214629352474527,0.4865950248146239,53.3801155090332,2.10289715263023,0.46825143572994055,0.8318986915653902,2.2885579567657097,WBT,WBT-USD,12,WhiteBIT Coin,11384547747.0,106720975.0,1.038047834127682,0.5510621935678255
3072,2017-11-09,2026-04-08,0.7094258507721158,1.9754677185890386,0.3797663857474015,2239.50732421875,1.0426798910598798,0.24014599239196965,1.195320176257582,2.489100600767025,ETH,ETH-USD,2,Ethereum,270176486633.0,23608064246.0,0.9903934495476139,0.5406071615785744
1020,2023-01-02,2026-04-08,0.7278181143426032,-15.713957216909012,0.43748828675777285,6.0211009440536145e-06,0.2596851483332309,0.26780869956055736,1.1662354790172338,2.6794697460070274,BONK,BONK-USD,98,Bonk,529695471.0,58783686.0,0.9720011859771265,0.5262590057747221
1387,2022-06-21,2026-04-08,-0.7863206672894523,-1.666151398786297,0.557265182276228,0.0002699300821404904,0.4222127119797232,0.4495602319866085,0.7990741909234651,2.871885861088749,M,M-USD,23,MemeCore,4613580085.0,37328189.0,2.4861399676091818,0.5161283943446517
3005,2017-11-09,2026-04-08,-1.4347636594215287,4.946069776531841,0.5577381087818822,0.0002902056439779699,0.2016229251215304,0.194745327196649,1.2485698718601586,4.226049674520954,JUP,JUP-USD,92,Jupiter,601709037.0,30062485.0,3.1345829597412584,0.5009882607820013
2386,2019-09-26,2026-04-08,0.19334374552640557,6.36781615960513,0.4104085302504441,4795.5498046875,1.8292772445841832,0.7997413696890836,0.9493238181846839,1.3979925337596266,PAXG,PAXG-USD,39,PAX Gold,2464668302.0,365005036.0,1.5064755547933242,0.496140218678646
2006,2019-10-21,2025-04-17,-0.7213990582218074,-3.493368414199482,0.4508250481956434,0.0001630000042496249,1.2931135518883476,0.41206388554905515,0.9868610134691724,2.7438350421482234,UNI,UNI-USD,43,Uniswap,2044326262.0,227643698.0,2.421218358541537,0.4802456965716869
2252,2020-02-07,2026-04-08,0.1797371595751244,6.490715226625701,0.36631779854772195,4773.7666015625,1.8088320986060844,0.7965037382683173,0.9353054955390633,1.4060298313740311,XAUT,XAUT-USD,38,Tether Gold,2670314249.0,585499694.0,1.5200821407446052,0.4775531714907897
2503,2018-06-04,2025-04-10,-0.6422305423348623,-0.7487780536547999,0.46418721135938357,0.002050000010058284,0.659993099149127,0.49629418197636793,0.9969018568632854,2.1260353458110255,PI,PI-USD,48,Pi Network,1726438911.0,18567384.0,2.342049842654592,0.4672338885954621
2594,2019-03-02,2026-04-08,0.6401999483562669,-5.792522114249691,0.2657832170844794,0.24697014689445496,0.5280577865667883,0.26906540242200594,1.1119260471477566,3.5759468933500163,FET,FET-USD,95,Artificial Superintelligence Alliance,557435473.0,144683196.0,1.059619351963463,0.44175795320502353
930,2023-09-21,2026-04-08,0.024140506371106745,-0.0388616472536338,0.3230525653754065,1.1678416728973389,1.0294391623728456,0.9464327536264477,1.0071208997207068,1.0401456744166235,EURC,EURC-USD,107,EURC,415351096.0,54498447.0,1.675678793948623,0.4283750468346832
3072,2017-11-09,2026-04-08,0.5499271459895411,-5.114385810452279,0.22517766177735465,0.26169148087501526,0.5261523651739806,0.2382754251579251,0.9993544073821692,4.111248240864623,ADA,ADA-USD,13,Cardano,9651080550.0,596803632.0,1.1498921543301885,0.4276473433030409
2473,2019-07-01,2026-04-08,0.612206551470959,-6.981202970423323,0.25735689960287145,0.03919154033064842,0.35296872419437625,0.3063014249794566,0.843197710022721,4.826365366369618,CHZ,CHZ-USD,109,Chiliz,403369141.0,48503203.0,1.0876127488487706,0.42609867150914116
