symbol,ticker,obs,start,end,exponent_b,r2,exp_distance_to_btc,early_window_days,early_logpath_corr_vs_btc,early_logpath_rmse_vs_btc,latest_price,score
USDF,USDF-USD,2045,2020-09-01,2026-04-08,0.20451387831803627,0.3646195431656595,1.4953054537347408,730,0.038714276594771016,0.42977960174083113,2.1423940658569336,0.2577792993401143
USDG,USDG-USD,517,2024-11-06,2026-04-08,0.5442506741951503,0.6720439717977851,1.1555686578576267,517,-0.5143615119893673,2.025648921165667,5.9999308586120605,0.2151761992966886
TRX,TRX-USD,3072,2017-11-09,2026-04-08,0.6791868519536949,0.4662273587620215,1.0206324800990823,730,-0.2817441480829208,2.809331664390833,0.31535425782203674,0.21017076942048069
HYPE,HYPE-USD,1324,2021-01-12,2024-08-27,-3.3168432432221224,0.7070037866948735,5.0166625752749,730,-0.4747441708578807,3.521488484168085,4.999999873689376e-06,0.1852322640465681
SKY,SKY-USD,3072,2017-11-09,2026-04-08,-1.6715356528027112,0.7601357613306954,3.371354984855488,730,-0.5990411789143921,1.5014222054252957,0.021592818200588226,0.17814908414016226
XAUT,XAUT-USD,2252,2020-02-07,2026-04-08,0.179736781378956,0.3663186864436957,1.5200825506738211,730,-0.21675599769456877,0.5340294181137996,4769.759765625,0.16834128929935507
RAIN,RAIN-USD,1569,2021-12-21,2026-04-08,-2.617975673574506,0.7915519715029078,4.317795005627283,730,-0.6672803144602494,4.388051770093103,1.7156393369077705e-05,0.16025985021617012
ETH,ETH-USD,3072,2017-11-09,2026-04-08,0.7094258961661216,0.3797664147999953,0.9903934358866554,730,-0.351576893039986,0.8606977627748919,2239.816162109375,0.14832562058890914
AVAX,AVAX-USD,2026,2020-07-13,2026-04-08,0.1965314291394441,0.06848702720464594,1.5032879029133328,730,0.040807080924872265,2.211202241840001,9.369319915771484,0.12499656586273823
PI,PI-USD,2503,2018-06-04,2025-04-10,-0.6422305423348623,0.46418721135938357,2.3420498743876395,730,-0.4304323185360675,2.8400615326654375,0.002050000010058284,0.11807644509672349
NEAR,NEAR-USD,2002,2020-10-14,2026-04-08,0.012400102600668088,0.00029096135785833255,1.6874192294521089,730,0.03572871841653946,1.853176559145877,1.2870255708694458,0.08705682536366297
MNT,MNT-USD,468,2022-09-29,2024-01-09,-0.17374413915971235,0.09607986921558531,1.8735634712124893,468,-0.12674825333870027,5.057224752872015,0.12233500182628632,0.06847404635492539
ADA,ADA-USD,3072,2017-11-09,2026-04-08,0.5499268701379385,0.22517742720612488,1.1498924619148385,730,-0.4126442950782835,1.706337322331996,0.26147228479385376,0.049932247822652404
DOT,DOT-USD,2057,2020-08-20,2026-04-08,-0.36331058625276236,0.19679529199540768,2.063129918305539,730,-0.334283924079864,2.1678338045719374,1.2976197004318237,0.03685120052108118
BCH,BCH-USD,3072,2017-11-09,2026-04-08,-0.27369625743870085,0.16786967029340627,1.9735155894914778,730,-0.3724590035851941,1.024946104483145,442.90240478515625,0.012441151510145868
XRP,XRP-USD,3072,2017-11-09,2026-04-08,0.26117402424690955,0.11914539190173923,1.4386453078058674,730,-0.4042102295340327,1.2038580158708398,1.3678162097930908,-0.005845407248416409
XMR,XMR-USD,3072,2017-11-09,2026-04-08,0.15456447171391446,0.07246806584059606,1.5452548603388625,730,-0.388953774562253,0.8254868179756893,342.0491943359375,-0.024945598663777352
ZEC,ZEC-USD,3072,2017-11-09,2026-04-08,-0.3958244699301789,0.21981044909624703,2.095643801982956,730,-0.5465822386190432,1.1498156052181594,314.4706115722656,-0.027782165126366748
TON,TON-USD,2048,2020-08-29,2026-04-08,-1.069042983090402,0.2746406684606437,2.768862315143179,730,-0.6041991989428301,0.8556508230729607,0.004285419825464487,-0.03481500692529462
CC,CC-USD,792,2020-11-12,2023-01-12,0.7317441042135219,0.05699866537122711,0.9680752278392551,730,-0.4907540477863027,5.14682075788868,0.17997300624847412,-0.044492385607639684
SUI,SUI-USD,810,2022-03-18,2024-06-04,-0.5015603394796787,0.1514597295236767,2.2013796715324556,730,-0.501110708377929,1.4926289592450996,0.0003000000142492354,-0.04475880474324327
SHIB,SHIB-USD,1818,2021-04-16,2026-04-08,0.07605486739247161,0.018585263597976298,1.6237644646603053,730,-0.42575063523014456,2.9712464991712313,6.0853503782709595e-06,-0.06442299929062198
BUIDL,BUIDL-USD,792,2020-06-17,2022-08-17,-0.036622527154899547,0.0015530834460002474,1.7364418592076765,730,-0.4800880192067983,1.7527931725635957,0.708361029624939,-0.09424430748826897
XLM,XLM-USD,3072,2017-11-09,2026-04-08,0.016179826532570777,0.0006166180937777765,1.6836395055202062,730,-0.6948621033717467,1.8707392414487598,0.16327157616615295,-0.168398600031833
