date,age_days,price,pred_price,residual_ln
2014-09-17,2083.0,457.3340148925781,188.80222012663825,0.8847139971189124
2014-09-18,2084.0,424.44000244140625,189.3390543760713,0.8072313123859054
2014-09-19,2085.0,394.7959899902344,189.87715640784407,0.7319918326033497
2014-09-20,2086.0,408.90399169921875,190.41652860573518,0.7642664608719727
2014-09-21,2087.0,398.8210144042969,190.95717335685677,0.7364635511501136
2014-09-22,2088.0,402.1520080566406,191.49909305166523,0.7419470740533614
2014-09-23,2089.0,435.7909851074219,192.0422900839553,0.8194471278206645
2014-09-24,2090.0,423.2049865722656,192.58676685086525,0.7873098744263274
2014-09-25,2091.0,411.5740051269531,193.13252575288325,0.7566122311047687
2014-09-26,2092.0,404.42498779296875,193.67956919385128,0.7362611867239881
2014-09-27,2093.0,399.5199890136719,194.22789958096192,0.7212315893285153
2014-09-28,2094.0,377.1809997558594,194.7775193247676,0.6608671970155386
2014-09-29,2095.0,375.4670104980469,195.32843083917754,0.6534882099783443
2014-09-30,2096.0,386.9440002441406,195.88063654147123,0.6807745038688982
2014-10-01,2097.0,383.614990234375,196.43413885228676,0.6693122161287652
2014-10-02,2098.0,375.0719909667969,196.9889401956388,0.6439703974337254
2014-10-03,2099.0,359.5119934082031,197.5450429989096,0.5987809138072446
2014-10-04,2100.0,328.8659973144531,198.1024496928612,0.5068660452306029
2014-10-05,2101.0,320.510009765625,198.6611627116338,0.47831283404922154
2014-10-06,2102.0,330.0790100097656,199.22118449274654,0.504916362724007
2014-10-07,2103.0,336.18701171875,199.78251747710567,0.520438225353387
2014-10-08,2104.0,352.94000244140625,200.3451641090082,0.5662563781564147
2014-10-09,2105.0,365.0260009765625,200.9091268361375,0.5971158860617702
2014-10-10,2106.0,361.56201171875,201.47440810957667,0.5847712004914021
2014-10-11,2107.0,362.29901123046875,202.0410103838014,0.5839991702544101
2014-10-12,2108.0,378.54901123046875,202.60893611669349,0.6250678545221238
2014-10-13,2109.0,390.41400146484375,203.17818776952905,0.6531243520150323
2014-10-14,2110.0,400.8699951171875,203.74876780700382,0.6767494685093638
2014-10-15,2111.0,394.77301025390625,204.32067869721124,0.6586202281218618
2014-10-16,2112.0,382.5559997558594,204.89392291166632,0.6243826511369859
2014-10-17,2113.0,383.75799560546875,205.46850292529373,0.6247193823856936
2014-10-18,2114.0,391.4419860839844,206.04442121644465,0.6417455382407402
2014-10-19,2115.0,389.5459899902344,206.62168026688315,0.6340924432217667
2014-10-20,2116.0,382.8450012207031,207.20028256180765,0.6139443366175215
2014-10-21,2117.0,386.4750061035156,207.7802305898401,0.6205862612546049
2014-10-22,2118.0,383.1579895019531,208.36152684303434,0.6091727285920525
2014-10-23,2119.0,358.4169921875,208.94417381687984,0.5396299858540283
2014-10-24,2120.0,358.3450012207031,209.5281740103043,0.5366380004399831
2014-10-25,2121.0,347.27099609375,210.11352992567438,0.5024574403899535
2014-10-26,2122.0,354.7040100097656,210.70024406880282,0.5208471878910199
2014-10-27,2123.0,352.989013671875,211.28831894894913,0.5132132924442558
2014-10-28,2124.0,357.6180114746094,211.87775707882219,0.5234559188778025
2014-10-29,2125.0,335.59100341796875,212.46856097458408,0.4570991377141924
2014-10-30,2126.0,345.30499267578125,213.06073315585547,0.4828508059883365
2014-10-31,2127.0,338.3210144042969,213.65427614571365,0.4596360149037819
2014-11-01,2128.0,325.7489929199219,214.24919247069934,0.4189873360541103
2014-11-02,2129.0,325.8919982910156,214.84548466082077,0.416646939130934
2014-11-03,2130.0,327.5539855957031,215.44315524955442,0.4189557890010187
2014-11-04,2131.0,330.49200439453125,216.0422067738492,0.425108676220332
2014-11-05,2132.0,339.4859924316406,216.64264177412707,0.4491835027874309
2014-11-06,2133.0,349.2900085449219,217.2444627942919,0.4748792710733092
2014-11-07,2134.0,342.4150085449219,217.84767238172395,0.45222740866751554
2014-11-08,2135.0,345.4880065917969,218.45227308729324,0.4583903685422035
2014-11-09,2136.0,363.2640075683594,219.05826746535416,0.5057921075777347
2014-11-10,2137.0,366.92401123046875,219.6656580737543,0.5130481183941802
2014-11-11,2138.0,367.69500732421875,220.27444747383186,0.5123795526896684
2014-11-12,2139.0,423.5610046386719,220.88463823042784,0.6510569861801416
2014-11-13,2140.0,420.7349853515625,221.49623291187575,0.6415975648245213
2014-11-14,2141.0,397.8179931640625,222.10923409001964,0.5828252907732203
2014-11-15,2142.0,376.13299560546875,222.72364434020736,0.5240110526750543
2014-11-16,2143.0,387.8819885253906,223.33946624129442,0.5520082559524289
2014-11-17,2144.0,387.4079895019531,223.95670237565108,0.5480256339462546
2014-11-18,2145.0,375.197998046875,224.57535532916503,0.5132425720784646
2014-11-19,2146.0,380.55499267578125,225.1954276912389,0.5246621015243269
2014-11-20,2147.0,357.8399963378906,225.81692205480223,0.4603613573135341
2014-11-21,2148.0,350.8479919433594,226.43984101630767,0.4378737512094597
2014-11-22,2149.0,352.9200134277344,227.06418717573493,0.4410087000012215
2014-11-23,2150.0,367.572998046875,227.68996313659804,0.47893704030055595
2014-11-24,2151.0,376.9010009765625,228.31717150594628,0.5012467907210807
2014-11-25,2152.0,375.3479919433594,228.94581489436322,0.49436821480576754
2014-11-26,2153.0,368.3699951171875,229.5758959159743,0.4728541785953926
2014-11-27,2154.0,369.6700134277344,230.2074171884554,0.4736300357014951
2014-11-28,2155.0,376.4469909667969,230.84038133302104,0.48905076130471414
2014-11-29,2156.0,375.4909973144531,231.4747909744429,0.48376352240423603
2014-11-30,2157.0,378.0469970703125,232.11064874104247,0.48780432656702644
2014-12-01,2158.0,379.2449951171875,232.74795726470023,0.48822628175351923
2014-12-02,2159.0,381.31500244140625,233.38671918085632,0.490928994900667
2014-12-03,2160.0,375.010009765625,234.02693712851294,0.47151649365631343
2014-12-04,2161.0,369.60400390625,234.66861375024197,0.4542578081018771
2014-12-05,2162.0,376.85400390625,235.31175169218233,0.4709466169719674
2014-12-06,2163.0,374.7850036621094,235.95635360404242,0.46270569242399073
2014-12-07,2164.0,375.0950012207031,236.6024221391143,0.46079814170840816
2014-12-08,2165.0,361.90899658203125,237.24995995426283,0.4222785208657527
2014-12-09,2166.0,352.218994140625,237.89896970993803,0.39240703806263255
2014-12-10,2167.0,346.364990234375,238.54945407017433,0.37291646070256323
2014-12-11,2168.0,350.5060119628906,239.20141570259472,0.3820719183126826
2014-12-12,2169.0,352.5419921875,239.8548572784131,0.38513576287019724
2014-12-13,2170.0,347.3760070800781,240.50978147244194,0.3676470270516381
2014-12-14,2171.0,351.6319885253906,241.16619096308622,0.37709885665959675
2014-12-15,2172.0,345.3450012207031,241.82408843235953,0.35633336637200674
2014-12-16,2173.0,327.06201171875,242.48347656587114,0.299216221018475
2014-12-17,2174.0,319.7760009765625,243.1443580528457,0.27396542071902097
2014-12-18,2175.0,311.39599609375,243.80673558611346,0.24468955738576703
2014-12-19,2176.0,317.8429870605469,244.47061186212173,0.2624624046551318
2014-12-20,2177.0,329.95599365234375,245.13598958093348,0.2971461769294379
2014-12-21,2178.0,320.8429870605469,245.80287144623537,0.26642198747354673
2014-12-22,2179.0,331.885986328125,246.47126016533133,0.29754610019780436
2014-12-23,2180.0,334.5719909667969,247.14115844915725,0.3028924109577602
2014-12-24,2181.0,322.53399658203125,247.81256901227832,0.2635358561232204
2014-12-25,2182.0,319.00799560546875,248.4854945728897,0.24983169517178538
2014-12-26,2183.0,327.92401123046875,249.15993785282595,0.2746868975068075
2014-12-27,2184.0,315.8630065917969,249.8359015775637,0.2345042874929284
2014-12-28,2185.0,317.239013671875,250.51338847621514,0.23614311001146504
2014-12-29,2186.0,312.6700134277344,251.19240128154473,0.2189291797463504
2014-12-30,2187.0,310.73699951171875,251.87294272996098,0.21002212882635973
2014-12-31,2188.0,320.1929931640625,252.55501556152794,0.23729480924329582
2015-01-01,2189.0,314.2489929199219,253.23862251996758,0.2158534265193941
2015-01-02,2190.0,315.0320129394531,253.92376635265526,0.2156401725411241
2015-01-03,2191.0,281.0820007324219,254.61044981063102,0.09891171500303564
2015-01-04,2192.0,264.19500732421875,255.29867564860038,0.034253357773200044
2015-01-05,2193.0,274.4739990234375,255.98844662493863,0.06972422214733065
2015-01-06,2194.0,286.1889953613281,256.67976550168606,0.10882315621466088
2015-01-07,2195.0,294.3370056152344,257.37263504456496,0.13420041191474308
2015-01-08,2196.0,283.3489990234375,258.0670580229731,0.0934598839913976
2015-01-09,2197.0,290.4079895019531,258.7630372099878,0.11537406596836952
2015-01-10,2198.0,274.7959899902344,259.4605753823743,0.05742420201997245
2015-01-11,2199.0,265.6600036621094,260.15967532058437,0.020921731129622145
2015-01-12,2200.0,267.7959899902344,260.86033980875504,0.026240291658125692
2015-01-13,2201.0,225.86099243164062,261.562571634726,-0.14675380225779655
2015-01-14,2202.0,178.10299682617188,262.2663735900292,-0.38699866356746515
2015-01-15,2203.0,209.843994140625,262.97174846989867,-0.22568223654425523
2015-01-16,2204.0,208.0970001220703,263.678699073271,-0.23672699523969776
2015-01-17,2205.0,199.25999450683594,264.387228202792,-0.28280432493133656
